epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.43993,0.75782,3.89088,0.88932,0.02206,1,0.09377,0.07189,0.62627,4.72194,0.87735,0.1,0,0
2,5.03872,0.6329,3.2041,0.74494,0.02128,1,0.11778,0.09014,0.6136,4.67438,0.87603,0.0990901,9.01e-05,9.01e-05
3,7.51966,0.6769,3.8217,0.91922,0.02098,1,0.15715,0.12039,0.58322,4.57033,0.88104,0.0981604,0.0001604,0.0001604
4,10.1741,0.8026,4.05814,0.98563,0.02069,1,0.188,0.15802,0.56798,4.46609,0.88591,0.0972109,0.0002109,0.0002109
5,12.2698,0.51497,3.53952,0.87858,0.02,1,0.38975,0.33725,0.5158,4.26213,0.89901,0.0962416,0.0002416,0.0002416
6,17.6878,0.60786,3.17811,0.92086,0.01923,1,0.83,0.78071,0.50709,3.97165,0.9045,0.0952525,0.0002525,0.0002525
7,20.381,0.60651,3.70186,0.94344,0.01863,1,0.995,0.92921,0.50068,3.75443,0.90947,0.0942436,0.0002436,0.0002436
8,24.3168,0.67868,3.69681,0.81859,0.01852,1,0.995,0.9292,0.48436,3.55759,0.91488,0.0932149,0.0002149,0.0002149
9,26.5175,0.62113,3.25557,0.89518,0.01852,1,0.995,0.9292,0.48436,3.55759,0.91488,0.0921664,0.0001664,0.0001664
10,28.7343,0.52648,3.25043,0.90186,0.01818,1,0.995,0.9292,0.47621,3.39394,0.92235,0.0910981,9.81e-05,9.81e-05
